ID|Mesa|Mesero|Platillo|Cantidad|PrecioUnitario|Total|Hora
235|3|Jahaziel|Gordas|5|30|150|19:00
236|6|Jahaziel|Tamales|4|20|80|10:19
237|7|Torres|Tamales|5|20|100|21:22
238|6|Torres|Enchiladas|4|90|360|12:10
239|4|Alex|Enchiladas|5|90|450|14:31
240|3|Alex|Gordas|5|30|150|08:44
241|14|Torres|Tamales|5|20|100|10:49
242|12|Zenqu|Gordas|1|30|30|10:09
243|3|Jahaziel|Tacos|3|25|75|17:18
244|13|Jahaziel|Quesadillas|4|35|140|20:01
245|10|Torres|Tamales|1|20|20|15:40
246|10|Torres|Quesadillas|5|35|175|21:24
247|6|Alex|Gordas|1|30|30|13:59
248|15|Zenqu|Gordas|5|30|150|19:45
249|4|Jahaziel|Tacos|1|25|25|14:18
250|5|Jahaziel|Tamales|2|20|40|16:42
251|5|Alex|Tacos|5|25|125|18:19
252|13|Zenqu|Quesadillas|5|35|175|21:28
253|14|Jahaziel|Tacos|3|25|75|15:59
254|3|Jahaziel|Quesadillas|4|35|140|13:23
255|12|Jahaziel|Enchiladas|1|90|90|08:34
256|14|Zenqu|Quesadillas|1|35|35|08:55
257|10|Jahaziel|Tamales|3|20|60|20:39
258|11|Zenqu|Gordas|3|30|90|21:44
259|4|Torres|Quesadillas|3|35|105|08:07
260|11|Jahaziel|Enchiladas|1|90|90|12:11
261|10|Zenqu|Quesadillas|1|35|35|20:33
262|10|Zenqu|Quesadillas|3|35|105|12:10
263|5|Jahaziel|Tacos|3|25|75|19:24
264|12|Jahaziel|Tacos|3|25|75|09:57
265|1|Zenqu|Quesadillas|2|35|70|19:01
266|5|Alex|Tamales|1|20|20|21:48
267|14|Torres|Gordas|4|30|120|17:35
268|8|Zenqu|Gordas|5|30|150|15:17
269|8|Zenqu|Quesadillas|1|35|35|12:13
270|1|Jahaziel|Gordas|2|30|60|08:02
271|5|Torres|Enchiladas|5|90|450|19:03
272|6|Alex|Quesadillas|1|35|35|11:03
273|1|Jahaziel|Gordas|1|30|30|17:05
274|15|Jahaziel|Tamales|1|20|20|20:17
275|8|Torres|Tacos|2|25|50|09:53
276|3|Torres|Enchiladas|3|90|270|12:10
277|9|Torres|Tamales|4|20|80|09:30
278|9|Torres|Gordas|5|30|150|15:26
279|4|Zenqu|Quesadillas|4|35|140|16:38
280|5|Alex|Gordas|4|30|120|16:57
281|15|Torres|Tamales|1|20|20|21:21
282|15|Torres|Gordas|2|30|60|14:55
283|11|Torres|Quesadillas|2|35|70|16:42
284|12|Jahaziel|Tamales|5|20|100|19:44
285|13|Alex|Tamales|1|20|20|08:29
286|14|Jahaziel|Tacos|5|25|125|12:52
287|6|Alex|Tamales|2|20|40|16:45
288|12|Zenqu|Quesadillas|2|35|70|21:28
289|7|Torres|Tamales|5|20|100|16:34
290|5|Alex|Tacos|3|25|75|09:21
291|15|Alex|Enchiladas|5|90|450|17:14
292|5|Alex|Enchiladas|5|90|450|09:49
293|8|Jahaziel|Enchiladas|3|90|270|19:42
294|1|Alex|Enchiladas|4|90|360|20:50
295|7|Jahaziel|Tacos|4|25|100|10:51
296|6|Alex|Tamales|3|20|60|09:45
297|2|Alex|Tamales|3|20|60|11:18
298|15|Jahaziel|Gordas|4|30|120|18:32
299|3|Alex|Tacos|3|25|75|10:37
300|11|Jahaziel|Quesadillas|2|35|70|10:51
